coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,zori_rent_value,year
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",53.0,49.0,4.0,0.0,44950,42556,2394,110143,2747,2554.0,193.0,15168,48896.0,75870.0254139325,140339.41502306788,48.17,3915.6572,15072.6,1112.4896520470481,2019
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",268.0,261.0,7.0,43.0,122310,118367,3943,229635,2505,2204.0,301.0,13482,72219.0,185432.269601225,275616.8748918505,48.17,3915.6572,15072.6,1327.9084311769006,2019
NY-600,New York City CoC,78604.0,74982.0,3622.0,6226.0,4266067,4098032,168035,8342925,394179,364734.0,29445.0,1320177,77027.7769560436,301389.03474710346,598912.991415454,48.17,3915.6572,15072.6,2509.9345287706437,2019
NY-601,Poughkeepsie/Dutchess County CoC,533.0,523.0,10.0,31.0,148361,143255,5106,293934,4686,3983.0,703.0,23693,58417.0,201798.613642761,288680.25886660843,48.17,3915.6571999999996,15072.600000000002,1451.8576959997463,2019
NY-602,"Newburgh, Middletown/Orange County CoC",589.0,538.0,51.0,57.0,191721,184795,6926,384950,5273,4640.0,633.0,46013,53287.0,166489.63246487072,261030.6672089093,48.17,3915.6572,15072.6,1511.1608514341467,2019
NY-603,"Nassau, Suffolk Counties CoC",3843.0,3797.0,46.0,109.0,1526356,1474329,52027,2834398,25382,22349.0,3033.0,172355,81738.63730746352,351587.432321162,480758.6544499795,48.17,3915.6572,15072.6,5636.273090581364,2019
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1812.0,1780.0,32.0,130.0,498184,480302,17882,968467,22972,21363.0,1609.0,79545,112037.0,371571.6833749733,587863.9388260263,48.17,3915.6572,15072.6,2283.9916729913616,2019
NY-606,Rockland County CoC,182.0,139.0,43.0,36.0,159731,154304,5427,326352,6395,5691.0,704.0,40031,62206.0,304451.4785648916,448080.01197949913,48.17,3915.6572,15072.599999999999,2095.76188892243,2019
NY-608,Kingston/Ulster County CoC,432.0,390.0,42.0,25.0,89940,86710,3230,177933,3408,2964.0,444.0,20451,52554.0,152094.93466959088,235171.8631206395,48.169999999999995,3915.6572,15072.6,1256.3519485907975,2019
OH-500,Cincinnati/Hamilton County CoC,1082.0,1051.0,31.0,69.0,420158,404026,16132,818653,25299,23781.0,1518.0,116077,61458.0,87741.27947964624,162475.10756456843,50.88,2515.0846,9576.2841,1036.0140701696148,2019
OH-501,Toledo/Lucas County CoC,611.0,599.0,12.0,48.0,211993,202047,9946,428888,12188,11334.0,854.0,75402,47719.0,34475.839524182345,100210.35556826234,50.88,2515.0846000000006,9576.2841,873.9951551112487,2019
OH-502,Cleveland/Cuyahoga County CoC,1618.0,1512.0,106.0,226.0,627902,601190,26712,1235574,38440,35364.0,3076.0,195758,55998.0,60631.04013757375,129111.22093798022,50.88,2515.0846,9576.2841,1072.2512957232948,2019
OH-503,Columbus/Franklin County CoC,1907.0,1525.0,382.0,97.0,703584,678439,25145,1318766,24534,22325.0,2209.0,172890,51467.0,93426.0801617983,185258.37166226978,50.88,2515.0846,9576.2841,1129.9608996077634,2019
OH-504,Youngstown/Mahoning County CoC,148.0,139.0,9.0,18.0,104172,98147,6025,227510,5265,4896.0,369.0,40346,44315.0,30856.88531483586,87057.32621805162,50.88,2515.0846,9576.2841,653.1366471719224,2019
OH-505,"Dayton, Kettering/Montgomery County CoC",681.0,632.0,49.0,28.0,254041,243251,10790,532139,12353,11611.0,742.0,78917,48143.0,49846.42839893082,112896.79778891947,50.88,2515.0846,9576.2841,890.630716855483,2019
OH-506,Akron/Summit County CoC,546.0,459.0,87.0,54.0,274992,263139,11853,540814,13809,13532.0,277.0,75226,53580.0,61568.0872732427,135378.45931666213,50.88,2515.0846,9576.2841,844.5749153824048,2019
OH-507,Ohio Balance of State CoC,3479.0,2665.0,814.0,330.0,1427203,1367948,59255,2809131,43709,40295.0,3414.0,318656,47502.22782098805,82199.73632460537,152122.18520609496,50.88,2515.0846,9576.2841,665.3617230805166,2019
OH-508,"Canton, Massillon, Alliance/Stark County CoC",273.0,256.0,17.0,4.0,187369,178826,8543,370723,6527,6070.0,457.0,46938,46384.0,59968.8906600929,129120.47553363464,50.88,2515.0846,9576.2841,743.7414456414322,2019
OK-500,North Central Oklahoma CoC,178.0,171.0,7.0,3.0,64991,63172,1819,143015,1555,1478.0,77.0,24489,41660.369716463305,51263.889568073115,123349.745544397,60.14,1784.2679999999998,7870.815299999999,0.0,2019
OK-501,Tulsa City & County CoC,1188.0,892.0,296.0,236.0,323631,313843,9788,652166,13022,11850.0,1172.0,91457,64444.0,65361.20031029961,141479.9444158574,60.14,1784.2679999999998,7870.8153,964.7438566606816,2019
OK-503,Oklahoma Balance of State CoC,279.0,113.0,166.0,80.0,54523,52798,1725,120787,1598,1536.0,62.0,16001,41678.63388444121,42566.41296569103,118150.73277073371,60.14,1784.268,7870.8153,0.0,2019
OK-505,Northeast Oklahoma CoC,228.0,157.0,71.0,28.0,40996,39557,1439,100484,878,815.0,63.0,16589,47050.518062577125,46422.50331997097,102002.83682166615,60.14,1784.268,7870.8153,0.0,2019
OK-506,Southwest Oklahoma Regional CoC,158.0,136.0,22.0,9.0,67698,65505,2193,161690,1575,1402.0,173.0,22275,44175.90213371266,47905.73941193383,112217.00566507957,60.14000000000001,1784.268,7870.815300000001,540.1908755900253,2019
OK-507,Southeastern Oklahoma Regional CoC,293.0,217.0,76.0,33.0,126159,121974,4185,282465,5358,4842.0,516.0,46392,42393.6880852495,41614.14186154594,102612.40581980352,60.11739755367921,2145.9002247839558,8159.863927274883,347.0493722834928,2019
OR-500,"Eugene, Springfield/Lane County CoC",2165.0,532.0,1633.0,841.0,180006,172825,7181,382064,5216,4955.0,261.0,52146,45960.0,226044.620001785,306796.13458434126,51.27,2878.4312,12000.326,1392.4397059178227,2019
OR-501,"Portland, Gresham/Multnomah County CoC",4015.0,1978.0,2037.0,1781.0,451303,436664,14639,812439,15963,14685.0,1278.0,95902,59402.0,300891.28292392934,405313.3074107517,51.27,2878.4311999999995,12000.325999999997,1500.220016422201,2019
OR-502,"Medford, Ashland/Jackson County CoC",712.0,348.0,364.0,196.0,103404,98980,4424,220815,2964,2904.0,60.0,29613,47708.0,231811.03263821985,315657.92342284933,51.27,2878.4312,12000.325999999997,1403.5915465876567,2019
OR-503,Central Oregon CoC,880.0,266.0,614.0,160.0,95919,92203,3716,197417,1322,1255.0,67.0,18047,57493.0,274083.2535776258,397092.4903104777,51.269999999999996,2878.4312,12000.326,1559.7922783890074,2019
OR-505,Oregon Balance of State CoC,7103.0,2064.0,5039.0,1603.0,503045,482986,20059,1080988,15001,13624.0,1377.0,128555,44355.60539802477,215125.19646425615,293691.42130698246,51.269999999999996,2878.4312,12000.326,796.473878509077,2019
OR-506,"Hillsboro, Beaverton/Washington County CoC",530.0,298.0,232.0,139.0,323903,314017,9886,600933,3952,3675.0,277.0,48575,63425.0,328344.3794974646,432608.0814886918,51.27,2878.4312,12000.326,1533.328786234518,2019
OR-507,Clackamas County CoC,471.0,248.0,223.0,182.0,218366,211042,7324,418199,2935,2612.0,323.0,29818,61375.0,313559.6307637525,432231.9868440076,51.27,2878.4311999999995,12000.326,1543.6778935658774,2019
PA-501,Harrisburg/Dauphin County CoC,418.0,370.0,48.0,64.0,146373,140502,5871,278427,6529,5941.0,588.0,30942,52892.0,81458.36852126424,162789.60540814346,49.8,2744.8856,10605.044,969.2176935813982,2019
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",400.0,352.0,48.0,21.0,303714,291483,12231,566506,7103,6463.0,640.0,54091,69950.0,100825.12891238276,210826.50530964436,49.8,2744.8856,10605.044,1351.6697772383307,2019
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",164.0,157.0,7.0,2.0,160335,151281,9054,317438,9035,8221.0,814.0,46326,45938.0,46457.63912855529,107104.06431519361,49.8,2744.8856,10605.044,826.8576477552538,2019
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",246.0,227.0,19.0,31.0,462981,446861,16120,830397,5808,5052.0,756.0,48819,82176.0,194701.27092799393,305503.1769139015,49.79999999999999,2744.8856,10605.044,1529.8643761623098,2019
PA-505,Chester County CoC,528.0,508.0,20.0,19.0,291459,282238,9221,525059,3689,3320.0,369.0,30184,88403.0,223059.58019080842,355464.4624420526,49.8,2744.8856,10605.044,1620.910809745438,2019
PA-506,Reading/Berks County CoC,597.0,587.0,10.0,38.0,218371,208900,9471,420375,4340,4036.0,304.0,41916,51606.0,96303.63117951175,174388.35458436265,49.8,2744.8856000000005,10605.044,939.2577132481491,2019
PA-508,Scranton/Lackawanna County CoC,186.0,177.0,9.0,12.0,106490,101312,5178,209808,6503,5852.0,651.0,28812,48388.0,56381.35425707011,119822.3570831655,49.79999999999999,2744.8856,10605.044,905.6075725007372,2019
PA-509,Eastern Pennsylvania CoC,1843.0,1506.0,337.0,142.0,1135383,1086575,48808,2212696,28942,25991.0,2951.0,226748,50279.76538846728,111320.21679359385,180286.1145759292,49.8,2744.8856,10605.044,794.8969540613214,2019
PA-510,Lancaster City & County CoC,422.0,410.0,12.0,16.0,289026,279104,9922,545441,4086,3799.0,287.0,55968,54529.0,155620.0885167744,227669.59475148984,49.8,2744.8856,10605.044,969.9325996490062,2019
PA-511,"Bristol, Bensalem/Bucks County CoC",359.0,338.0,21.0,35.0,349374,336057,13317,628497,5638,4735.0,903.0,35075,76502.0,219097.83806915433,327174.407647692,49.8,2744.8856,10605.044,1538.4764570433963,2019
PA-512,York City & County CoC,321.0,289.0,32.0,13.0,238988,229843,9145,449341,3506,3260.0,246.0,40477,52015.0,117831.57555477374,187028.113983506,49.79999999999999,2744.8856,10605.044,1028.730765061859,2019
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",774.0,726.0,48.0,111.0,657807,630855,26952,1215716,34855,31020.0,3835.0,127238,64718.0,69631.56160692935,153771.5542660452,49.8,2744.8856,10605.044,1139.198845749427,2019
PA-601,Western Pennsylvania CoC,727.0,693.0,34.0,17.0,523533,500100,23433,1022942,17209,15603.0,1606.0,104798,53070.246621020546,58324.496968738684,135187.21290375612,49.800000000000004,2744.8856,10605.044,718.6482415677482,2019
PA-603,Beaver County CoC,123.0,117.0,6.0,0.0,84960,81133,3827,163956,3977,3698.0,279.0,18879,50385.0,54358.85353440876,122592.88590508554,49.8,2744.8856,10605.044,0.0,2019
PA-605,Erie City & County CoC,356.0,350.0,6.0,38.0,130605,124689,5916,269529,6178,5683.0,495.0,42666,46259.0,68657.37677530649,127413.68320830406,49.8,2744.8856,10605.044,830.4986554885235,2019
RI-500,Rhode Island Statewide CoC,1055.0,984.0,71.0,198.0,574347,554076,20271,1058158,38271,35638.0,2633.0,118096,56616.43502860631,208483.50241377045,287309.300616668,49.27,3000.3965,10695.023,1430.1523237164936,2019
SC-500,Charleston/Low Country CoC,403.0,275.0,128.0,86.0,462861,451788,11073,997722,11165,10219.0,946.0,104656,54456.90205488102,170490.60321250072,284644.73897169216,61.699999999999996,1633.0357,9016.891,1413.0537640881757,2019
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1401.0,895.0,506.0,321.0,602102,586870,15232,1299179,15712,15113.0,599.0,160114,44651.85785022695,83229.86136604322,167742.99421230057,61.70000000000001,1633.0357,9016.891,980.0856077762206,2019
SC-502,Columbia/Midlands CoC,1215.0,923.0,292.0,277.0,593877,578107,15770,1267527,15281,14261.0,1020.0,153785,47446.973612396425,82185.7423980083,172887.58734472888,61.7,1633.0357,9016.891,1095.352704060781,2019
SC-503,"Myrtle Beach, Sumter City & County CoC",1153.0,362.0,791.0,258.0,252948,244519,8429,599181,6387,5927.0,460.0,85591,40616.014803540165,86356.77265297112,162877.07182758566,61.7,1633.0357,9016.891,915.6358482146585,2019
SD-500,South Dakota Statewide CoC,995.0,761.0,234.0,100.0,246375,240055,6320,447169,7281,6668.0,613.0,39775,61716.62293450574,150845.32866415515,223506.05431732358,45.53999999999999,1366.5693000000003,8199.8432,786.6463061648838,2019
TN-500,Chattanooga/Southeast Tennessee CoC,463.0,282.0,181.0,91.0,237913,230207,7706,476009,9252,8134.0,1118.0,60751,50154.810635933354,100255.8475741214,185517.43092806372,58.11,1844.0933000000002,7530.5734,1091.1488559160698,2019
TN-501,Memphis/Shelby County CoC,1325.0,1267.0,58.0,74.0,448428,430717,17711,937070,17912,16837.0,1075.0,157667,50468.0,50577.52499690382,135704.64232732158,58.11000000000001,1844.0933,7530.573400000001,1025.5551247228807,2019
TN-502,Knoxville/Knox County CoC,800.0,605.0,195.0,176.0,245936,238896,7040,470137,10736,9340.0,1396.0,61334,52422.0,103328.27996685474,191420.70210978008,58.11,1844.0933,7530.5734,1137.3907216778864,2019
TN-503,Central Tennessee CoC,357.0,310.0,47.0,75.0,433081,420679,12402,849176,5693,5380.0,313.0,70523,60194.848541409556,174400.68000267597,292083.30238721817,58.11,1844.0933,7530.5734,1119.3693215690855,2019
TN-504,Nashville-Davidson County CoC,1986.0,1401.0,585.0,466.0,403494,393375,10119,692999,17987,16008.0,1979.0,84547,72602.0,186328.26105002736,275899.6940994144,58.11,1844.0933,7530.5734,1425.8840425287406,2019
TN-506,Upper Cumberland CoC,273.0,208.0,65.0,24.0,137205,132852,4353,285296,2598,2467.0,131.0,30899,45718.49097779149,143145.6081113494,229963.94734259674,58.10999999999999,1844.0932999999998,7530.573400000001,879.7073750228592,2019
TN-507,Jackson/West Tennessee CoC,959.0,108.0,851.0,96.0,97364,93851,3513,200805,4526,4351.0,175.0,27264,45534.909319987055,71413.27783105815,154272.0981404896,58.10999999999999,1844.0933000000002,7530.5734,0.0,2019
TN-509,Appalachian Regional CoC,405.0,256.0,149.0,51.0,155983,150371,5612,344535,6126,5588.0,538.0,53927,42729.314098712755,72459.3245153193,139040.90993109465,58.11000000000001,1844.0933,7530.5734,290.4243533667249,2019
TN-510,Murfreesboro/Rutherford County CoC,384.0,222.0,162.0,41.0,187529,182766,4763,332125,2155,1982.0,173.0,32610,43095.0,186150.0395027008,257778.24231320937,58.11,1844.0933000000002,7530.573399999999,1408.3019460107532,2019
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",515.0,210.0,305.0,39.0,64188,62173,2015,133396,1245,1182.0,63.0,13649,45831.0,111207.05252544007,190735.2519122817,58.11,1844.0933,7530.5734,1190.43441332843,2019
TX-500,San Antonio/Bexar County CoC,2872.0,1685.0,1187.0,343.0,935537,906024,29513,2002445,26887,25004.0,1883.0,298018,46569.0,114341.10918747327,187396.89308278568,65.97,1457.5223,8746.2936,1178.495731053434,2019
TX-503,Austin/Travis County CoC,2255.0,1169.0,1086.0,602.0,731331,712144,19187,1273567,10198,9178.0,1020.0,134983,71633.0,239457.91087478562,352296.32460816327,65.97,1457.5223,8746.2936,1429.6858400745252,2019
TX-600,"Dallas City & County, Irving CoC",4538.0,3086.0,1452.0,533.0,1900355,1836028,64327,3670675,36878,31578.0,5300.0,426179,65243.42684792307,172816.65912974006,256205.37867807562,65.97,1457.5223,8746.2936,1379.287297487571,2019
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2028.0,1468.0,560.0,320.0,68167,66184,1983,143149,594,564.0,30.0,11524,57254.0,163398.3033231329,272533.4628719393,65.97,1457.5223,8746.2936,1187.2682789656321,2019
TX-603,El Paso City & County CoC,809.0,626.0,183.0,123.0,359445,345701,13744,837501,13847,11631.0,2216.0,154504,38771.0,88128.52701388445,131604.71672628328,65.97,1457.5223,8746.2936,1070.251821890224,2019
TX-604,Waco/McLennan County CoC,193.0,124.0,69.0,35.0,118209,114271,3938,257080,4131,3841.0,290.0,44574,42699.0,81290.52863796991,160728.04747337705,65.97,1457.5223,8746.2936,1074.285274802058,2019
TX-607,Texas Balance of State CoC,8072.0,3416.0,4656.0,597.0,2991599,2872028,119571,6640183,73247,65034.0,8213.0,1031873,46148.10006666985,92989.71973531543,169032.58931743467,65.97,1457.5223,8746.2936,960.7483261014788,2019
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",243.0,180.0,63.0,11.0,87652,84845,2807,202205,2473,2251.0,222.0,22329,44737.839979229,71005.88332402629,141680.5147201461,65.97,1457.5223,8746.2936,545.9417941609737,2019
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",3938.0,2324.0,1614.0,661.0,683215,659712,23503,1420320,3973,3802.0,171.0,106958,62683.13778303481,175408.01315199074,260312.26503347096,65.97,1457.5223,8746.293599999999,1489.973781021609,2019
TX-701,"Bryan, College Station/Brazos Valley CoC",123.0,102.0,21.0,16.0,117735,114547,3188,229418,2484,2409.0,75.0,42898,41414.0,136090.7081027284,216997.21273599725,65.97,1457.5223,8746.2936,1286.526431623876,2019
UT-500,Salt Lake City & County CoC,1844.0,1651.0,193.0,383.0,637435,621863,15572,1158585,9391,8545.0,846.0,103036,55481.0,267360.3309006211,360201.37084718683,49.55,1324.7554,9472.8371,1304.6804141451591,2019
UT-503,Utah Balance of State CoC,793.0,642.0,151.0,104.0,469383,457252,12131,976500,5609,5072.0,537.0,76837,44394.892044034816,232347.53079032904,317152.5463690024,49.55,1324.7554,9472.837100000002,1057.330222261167,2019
UT-504,Provo/Mountainland CoC,161.0,97.0,64.0,25.0,25094,24496,598,42081,4,0.0,4.0,1968,152310.0,327560.79469307075,668443.7466939992,49.55,1324.7554,9472.8371,0.0,2019
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",497.0,327.0,170.0,83.0,444218,432204,12014,817373,6136,5669.0,467.0,58242,62526.45385521665,171772.1385844731,255296.88059750485,55.54,1644.2660000000003,9311.9882,1082.6831963316765,2019
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",342.0,314.0,28.0,54.0,20626,20049,577,40235,202,187.0,15.0,3803,47315.0,163021.97429371977,245260.3459215816,55.54,1644.266,9311.9882,0.0,2019
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",221.0,185.0,36.0,30.0,73873,71853,2020,153775,580,533.0,47.0,8097,55494.0,267032.7166512554,367229.3608093839,55.54,1644.266,9311.9882,1618.2700299794026,2019
VA-521,Virginia Balance of State CoC,761.0,637.0,124.0,24.0,53349,51830,1519,105332,415,388.0,27.0,9965,60686.583554855126,202552.69671476542,312973.92773859744,55.53999999999999,1644.266,9311.9882,0.0,2019
VA-600,Arlington County CoC,215.0,179.0,36.0,74.0,154821,151874,2947,238392,2772,2550.0,222.0,17774,98116.0,358877.39311426104,659343.5406700481,55.54,1644.266,9311.9882,2152.5743438378927,2019
VA-602,Loudoun County CoC,167.0,96.0,71.0,41.0,227523,222301,5222,414872,963,616.0,347.0,12909,80535.0,392341.0365028239,555165.1699755349,55.54,1644.266,9311.9882,1853.3884482618748,2019
VT-501,Burlington/Chittenden County CoC,309.0,261.0,48.0,74.0,99583,98001,1582,163918,4464,3839.0,625.0,16084,61569.0,218272.25793115338,308561.4664977209,43.74,2901.8833,12313.473,1567.7816798037184,2019
WA-500,Seattle/King County CoC,11199.0,5971.0,5228.0,2213.0,1288392,1253834,34558,2249653,34989,33239.0,1750.0,171116,92026.0,390350.40354543255,614268.6185363164,50.47,1663.9389,10768.145,1958.45844692235,2019
WA-501,Washington Balance of State CoC,5509.0,3210.0,2299.0,1414.0,893088,845498,47590,1858288,18135,16438.0,1697.0,201941,49455.70225121187,221462.0269860175,323574.02110329247,50.47,1663.9389000000003,10768.145,1057.8497332577272,2019
WA-502,Spokane City & County CoC,1309.0,994.0,315.0,257.0,257459,243815,13644,522231,7330,7036.0,294.0,65750,46902.0,183120.28050110667,270374.9328771112,50.47,1663.9389,10768.145,1090.869826575045,2019
WA-504,Everett/Snohomish County CoC,1116.0,517.0,599.0,476.0,438686,425807,12879,822413,8596,8338.0,258.0,56935,57900.0,352934.6510901495,486142.83566983684,50.47,1663.9389,10768.145,1655.3262218026848,2019
WA-508,Vancouver/Clark County CoC,958.0,471.0,487.0,160.0,246958,235243,11715,489271,4099,3566.0,533.0,44548,54930.0,291077.50384098676,369327.6737750387,50.47,1663.9389,10768.145,1413.1276305639733,2019
WI-500,Wisconsin Balance of State CoC,2875.0,2781.0,94.0,340.0,1555261,1508486,46775,2858802,32613,29117.0,3496.0,235163,54697.78751239155,129155.06630953123,202794.45523115303,44.71,2275.318,9465.5347,277.27574379141697,2019
WI-501,Milwaukee City & County CoC,885.0,771.0,114.0,73.0,466224,448434,17790,947011,22173,19955.0,2218.0,156647,48107.0,88772.77434356186,160164.18519415054,44.71,2275.318,9465.5347,1010.0732781295995,2019
WI-502,Racine City & County CoC,200.0,188.0,12.0,15.0,98613,94769,3844,196204,3036,2914.0,122.0,23688,50729.0,98466.2443391878,169536.2657828563,44.71,2275.318,9465.5347,733.6413042192311,2019
WI-503,Madison/Dane County CoC,578.0,503.0,75.0,105.0,324955,317425,7530,547637,6405,5828.0,577.0,50163,63683.0,204849.3512145971,296924.76637262537,44.71,2275.318,9465.5347,1186.2325347411945,2019
WV-500,"Wheeling, Weirton Area CoC",136.0,127.0,9.0,13.0,34237,32594,1643,70460,2576,2244.0,332.0,9063,53264.341697416974,41651.70165787907,97847.39591496777,53.08,2684.3514999999998,9228.6354,0.0,2019
WV-501,"Huntington/Cabell, Wayne Counties CoC",171.0,122.0,49.0,10.0,57113,54520,2593,131449,4192,3897.0,295.0,23991,41269.2275331117,40356.31002575593,95906.66886033086,53.08,2684.3515,9228.6354,0.0,2019
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",293.0,291.0,2.0,50.0,82453,78636,3817,178393,5612,5443.0,169.0,28499,49760.0,49768.10168282831,101826.36758961846,53.08,2684.3515,9228.6354,724.9100230287476,2019
WV-508,West Virginia Balance of State CoC,797.0,609.0,188.0,88.0,204341,196403,7938,406667,4453,4191.0,262.0,52650,46531.8666328962,103992.39630078539,174940.26261798554,53.08,2684.3515,9228.6354,640.8090764411419,2019
AK-501,Alaska Balance of State CoC,922.0,707.0,215.0,180.0,45865,43466,2399,98749,1018,1007.0,11.0,8104,56888.0,121543.49856989183,230144.21167140655,32.03,3635.6963000000005,19467.454,0.0,2018
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",901.0,682.0,219.0,119.0,435073,420011,15062,875549,19610,17589.0,2021.0,120520,54950.82611938338,60217.139858716044,146677.1145153738,62.68,1352.3093,8233.5231,1012.8474572264943,2018
AL-501,Mobile City & County/Baldwin County CoC,551.0,318.0,233.0,59.0,287302,274943,12359,632346,13995,11947.0,2048.0,105608,41198.732782369145,68124.46095148199,144183.5933831898,62.68,1352.3093,8233.5231,931.2360333332977,2018
AL-503,Huntsville/North Alabama CoC,424.0,308.0,116.0,111.0,284712,274854,9858,582801,7194,6566.0,628.0,68719,47970.71317139126,74814.17738954985,154317.05745843472,62.68,1352.3093000000001,8233.5231,617.5698463170545,2018
AL-504,Montgomery City & County CoC,369.0,300.0,69.0,63.0,171564,165060,6504,363353,5616,5401.0,215.0,59713,43255.307673254385,50503.30800661254,117465.3246987066,62.68,1352.3093,8233.5231,574.4244951150495,2018
AL-506,Tuscaloosa City & County CoC,57.0,56.0,1.0,4.0,103605,99857,3748,208607,4897,4162.0,735.0,33330,39062.0,53936.64388928884,144047.9622821409,62.68,1352.3093,8233.5231,1273.1101946975248,2018
AL-507,Alabama Balance of State CoC,730.0,440.0,290.0,13.0,297087,285186,11901,686502,11465,10855.0,610.0,117205,38304.202552942304,60122.885622008325,125670.60079474714,62.68,1352.3093,8233.5231,311.72199121954066,2018
AR-500,Little Rock/Central Arkansas CoC,1081.0,531.0,550.0,232.0,281240,271959,9281,586891,11007,10223.0,784.0,84658,47578.46683285312,59125.27932362097,137518.384704966,60.089999999999996,2276.4718,8181.123800000001,772.6880303053166,2018
AR-501,Fayetteville/Northwest Arkansas CoC,474.0,323.0,151.0,42.0,284059,276096,7963,572895,3628,3235.0,393.0,68058,64376.409202384384,109860.48812392345,173315.89153284483,60.089999999999996,2276.4718000000003,8181.1238,948.890224004928,2018
AR-503,Arkansas Balance of State CoC,825.0,341.0,484.0,125.0,186227,179727,6500,397108,5081,4764.0,317.0,66830,37823.653061635625,70383.45493944951,136749.83919770468,60.09,2276.4718,8181.123799999999,577.4916073766983,2018
AZ-500,Arizona Balance of State CoC,2187.0,1102.0,1085.0,537.0,345561,326634,18927,822823,3345,3122.0,223.0,134584,38395.69875295173,149691.69410649675,245810.88610517138,65.97,2168.8939,7381.38,887.5945274170311,2018
AZ-501,Tucson/Pima County CoC,1380.0,1017.0,363.0,263.0,470786,449984,20802,1037746,9314,8010.0,1304.0,164927,43103.0,129248.05713827901,199579.4669063763,65.97,2168.8939,7381.38,1023.199543383099,2018
AZ-502,"Phoenix, Mesa/Maricopa County CoC",6298.0,3680.0,2618.0,974.0,2155981,2066973,89008,4405306,24084,22398.0,1686.0,535183,47606.0,187837.2727249943,273064.99574466574,65.97,2168.8939,7381.38,1204.863052274543,2018
CA-500,San Jose/Santa Clara City & County CoC,7254.0,1806.0,5448.0,2139.0,1042337,1014614,27723,1931985,24173,21272.0,2901.0,139074,108344.0,735199.0067043587,1141565.6417750826,61.17,3099.6507999999994,12371.530999999999,2882.047011984657,2018
CA-502,"Oakland, Berkeley/Alameda County CoC",5496.0,1633.0,3863.0,1742.0,841435,815554,25881,1666596,34048,29962.0,4086.0,147394,75354.0,508878.0811945037,813761.0471761576,61.17,3099.6508,12371.531,2576.655641077978,2018
CA-503,Sacramento City & County CoC,3621.0,1569.0,2052.0,1192.0,704161,676667,27494,1539550,19606,17841.0,1765.0,217138,51187.0,258812.01899404093,362664.2683919699,61.17,3099.6507999999994,12371.531000000003,1578.1203761126828,2018
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2996.0,1067.0,1929.0,747.0,260587,253298,7289,497221,6433,5918.0,515.0,48846,61501.0,423769.4779365471,632001.0800769158,61.17,3099.6508,12371.531,2151.4179783558125,2018
CA-505,Richmond/Contra Costa County CoC,2234.0,697.0,1537.0,555.0,560233,542110,18123,1150840,14939,13146.0,1793.0,88980,79641.0,415010.4941571056,617423.252734271,61.169999999999995,3099.6508,12371.531,2420.923983576991,2018
CA-506,"Salinas/Monterey, San Benito Counties CoC",3299.0,785.0,2514.0,942.0,253113,237254,15859,494774,5896,4417.0,1479.0,60908,53262.2997974833,365772.2445100281,530637.4712835635,61.17,3099.6508,12371.531,1665.5839483521975,2018
CA-507,Marin County CoC,1095.0,387.0,708.0,399.0,139681,136256,3425,260091,3541,3328.0,213.0,16742,132000.0,612900.2971986998,1043073.8218906134,61.17,3099.6508,12371.531,3282.078871065972,2018
CA-508,Watsonville/Santa Cruz City & County CoC,2320.0,521.0,1799.0,634.0,141270,134175,7095,273713,6021,5539.0,482.0,32027,65751.0,485436.7136100652,778297.723535003,61.17,3099.6508,12371.531,2614.895617886466,2018
CA-510,"Turlock, Modesto/Stanislaus County CoC",1356.0,750.0,606.0,241.0,243068,227230,15838,547855,6305,6115.0,190.0,84744,41850.0,227222.28208706886,307058.886684371,61.17,3099.6508,12371.531,1347.1954456125595,2018
CA-511,Stockton/San Joaquin County CoC,1685.0,1118.0,567.0,262.0,324146,304226,19920,752590,7826,6808.0,1018.0,105351,43077.0,243710.38869180245,359914.48554242396,61.17000000000001,3099.6508,12371.531,1723.6289662156814,2018
