coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
IL-513,Springfield/Sangamon County CoC,294.0,251.0,43.0,175.0,115.0,160.0,13.0,114.0,1.0,97057,88967,8090,193882,4108.0,3861.0,247.0,52891.0,59777.61671507809,128050.27271715726,51.37,2020
IL-515,South Central Illinois CoC,123.0,91.0,32.0,64.0,59.0,109.0,0.0,9.0,0.0,187065,173590,13475,388320,4349.0,3788.0,561.0,48751.85480274001,40091.153632031455,85717.26324325372,51.37,2020
IL-516,Decatur/Macon County CoC,135.0,112.0,23.0,80.0,55.0,80.0,0.0,51.0,0.0,47300,42577,4723,103015,3009.0,2557.0,452.0,52196.0,25913.238198439212,72089.44386407555,51.37,2020
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",135.0,117.0,18.0,71.0,64.0,66.0,14.0,57.0,6.0,256563,235172,21391,526106,10016.0,8908.0,1108.0,48957.744878408535,52450.751254671064,100123.53504525998,51.37,2020
IL-519,West Central Illinois CoC,113.0,110.0,3.0,55.0,57.0,82.0,7.0,28.0,1.0,100928,94295,6633,213529,3994.0,3411.0,583.0,47611.28011651813,42735.21205500575,88380.05251210513,51.370000000000005,2020
IL-520,Southern Illinois CoC,233.0,187.0,46.0,126.0,107.0,169.0,11.0,50.0,1.0,222347,203808,18539,487955,9310.0,8111.0,1199.0,44870.70269389595,30482.39608072371,74596.19371448734,51.37,2020
IN-502,Indiana Balance of State CoC,4037.0,3257.0,780.0,2293.0,1728.0,2824.0,273.0,919.0,22.0,2625975,2441723,184252,5323834,65111.0,77617.0,-12506.0,50826.974231540655,102335.11128293296,169942.2459751199,51.81,2020
IN-503,Indianapolis CoC,1588.0,1402.0,186.0,1127.0,454.0,668.0,74.0,864.0,15.0,496408,456101,40307,966183,16647.0,15148.0,1499.0,59264.0,84111.48149241637,153702.30045878584,51.81,2020
KS-502,Wichita/Sedgwick County CoC,619.0,558.0,61.0,454.0,165.0,375.0,77.0,173.0,13.0,259283,236571,22712,519907,5445.0,4628.0,817.0,56550.0,76385.83283644558,149947.53039980395,54.68,2020
KS-503,Topeka/Shawnee County CoC,467.0,375.0,92.0,266.0,200.0,258.0,37.0,82.0,1.0,91649,86325,5324,175999,3198.0,2654.0,544.0,51216.0,66053.74818228859,135886.5886710204,54.68,2020
KS-505,"Overland Park, Shawnee/Johnson County CoC",180.0,156.0,24.0,91.0,88.0,79.0,12.0,72.0,0.0,343574,326260,17314,607220,3464.0,3360.0,104.0,80681.0,218630.75466536693,309700.10633296374,54.68,2020
KS-507,Kansas Balance of State CoC,943.0,720.0,223.0,569.0,374.0,674.0,111.0,123.0,1.0,730316,694266,36050,1445414,17956.0,14889.0,3067.0,48392.972195509385,70301.53400513002,121769.013220356,54.68,2020
KY-500,Kentucky Balance of State CoC,2220.0,1464.0,756.0,1258.0,958.0,1892.0,54.0,265.0,3.0,1455714,1360487,95227,3385064,57238.0,50779.0,6459.0,44234.67664392756,68195.84801923977,132006.94196138444,55.61999999999999,2020
KY-501,Louisville-Jefferson County CoC,1102.0,961.0,141.0,666.0,434.0,500.0,47.0,525.0,11.0,389491,363423,26068,767452,21548.0,18746.0,2802.0,57863.0,101945.18784149963,182882.11632229426,55.61999999999999,2020
KY-502,Lexington-Fayette County CoC,689.0,658.0,31.0,469.0,215.0,434.0,35.0,206.0,5.0,171805,162169,9636,324735,6415.0,6030.0,385.0,54824.0,130079.46087313024,204507.82743987,55.62,2020
MA-500,Boston CoC,6134.0,5999.0,135.0,3090.0,3026.0,2115.0,2153.0,3186.0,94.0,457702,410752,46950,801582,53856.0,50624.0,3232.0,90571.0,398540.9685274236,573032.9569347018,48.14000000000001,2020
MA-502,Lynn CoC,1040.0,1027.0,13.0,428.0,612.0,608.0,156.0,311.0,5.0,425131,381200,43931,791263,20400.0,18972.0,1428.0,74519.0,335356.5820463844,477999.1393352288,48.14,2020
MA-503,Cape Cod Islands CoC,336.0,286.0,50.0,164.0,172.0,252.0,36.0,61.0,3.0,119626,106821,12805,230625,3800.0,3319.0,481.0,81126.91970514905,346717.93845152966,492332.35174561234,48.14,2020
MA-504,Springfield/Hampden County CoC,2257.0,2153.0,104.0,1054.0,1202.0,1702.0,1296.0,525.0,3.0,226764,201994,24770,463986,20119.0,18509.0,1610.0,57821.0,167472.48955906526,230174.6890572411,48.14,2020
MA-505,New Bedford CoC,398.0,350.0,48.0,210.0,188.0,230.0,119.0,108.0,1.0,300722,268295,32427,566765,15093.0,14187.0,906.0,61031.0,258573.39115321124,354665.4486143594,48.14,2020
MA-506,Worcester City & County CoC,1401.0,1212.0,189.0,720.0,674.0,1059.0,556.0,293.0,14.0,443482,402482,41000,829212,18313.0,17763.0,550.0,63286.0,224139.61393931127,319011.47317038104,48.14,2020
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",591.0,490.0,101.0,397.0,191.0,458.0,108.0,78.0,3.0,190284,174321,15963,356239,7606.0,7070.0,536.0,59279.99655568312,181244.73918705963,263658.5713607263,48.14,2020
MA-509,Cambridge CoC,501.0,438.0,63.0,327.0,169.0,268.0,94.0,199.0,8.0,903742,834270,69472,1609379,33070.0,30755.0,2315.0,90688.0,372867.4649813993,564635.6920522316,48.14,2020
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1079.0,1049.0,30.0,560.0,517.0,484.0,184.0,475.0,13.0,284260,256005,28255,523738,9625.0,9240.0,385.0,74034.0,310191.8749512199,424222.6857611604,48.14,2020
MA-515,Fall River CoC,357.0,298.0,59.0,175.0,182.0,253.0,118.0,83.0,5.0,300722,268295,32427,566765,15093.0,14187.0,906.0,61031.0,258573.39115321124,354665.4486143594,48.14,2020
MA-519,"Attleboro, Taunton/Bristol County CoC",250.0,222.0,28.0,126.0,124.0,144.0,57.0,101.0,1.0,300722,268295,32427,566765,15093.0,14187.0,906.0,61031.0,258573.39115321124,354665.4486143594,48.14,2020
MD-502,Harford County CoC,166.0,153.0,13.0,79.0,86.0,74.0,16.0,78.0,0.0,141932,134078,7854,256805,3164.0,2689.0,475.0,63432.0,194272.5885726189,296500.84543298144,54.61,2020
MD-503,Annapolis/Anne Arundel County CoC,319.0,229.0,90.0,197.0,120.0,158.0,9.0,132.0,3.0,318737,300973,17764,582777,5988.0,5149.0,839.0,72197.0,255490.41174989604,367520.28121279174,54.61,2020
MD-504,Howard County CoC,139.0,99.0,40.0,79.0,60.0,42.0,16.0,70.0,1.0,189779,180388,9391,328200,3718.0,3123.0,595.0,81969.0,311207.0925136457,463384.6533124245,54.61,2020
MD-505,Baltimore County CoC,712.0,496.0,216.0,387.0,324.0,240.0,26.0,428.0,8.0,454046,424267,29779,826017,12312.0,10095.0,2217.0,66585.0,166594.50665477404,255477.15546004486,54.61,2020
MD-506,Carroll County CoC,130.0,107.0,23.0,75.0,53.0,109.0,1.0,15.0,0.0,95420,90766,4654,169092,1442.0,1283.0,159.0,66901.0,239068.47195973666,344121.0669974732,54.60999999999999,2020
MD-509,Frederick City & County CoC,299.0,249.0,50.0,192.0,101.0,188.0,37.0,91.0,4.0,138108,130318,7790,265161,2405.0,2212.0,193.0,66664.0,240601.5988158146,349206.623988041,54.61,2020
MD-511,Mid-Shore Regional CoC,157.0,129.0,28.0,79.0,76.0,84.0,4.0,61.0,0.0,62307,58629,3678,121509,1673.0,1484.0,189.0,59871.66166292209,132597.55038323672,236741.637391124,54.61,2020
MD-513,"Wicomico, Somerset, Worcester Counties CoC",310.0,256.0,54.0,182.0,128.0,142.0,6.0,153.0,0.0,84118,77009,7109,181846,2810.0,2375.0,435.0,47076.37091824951,105336.20876654523,189337.76628558812,54.61,2020
MD-601,Montgomery County CoC,670.0,567.0,103.0,366.0,301.0,188.0,111.0,420.0,21.0,559037,525071,33966,1051816,12902.0,11869.0,1033.0,89552.0,302211.74741233705,485264.5507007192,54.61,2020
ME-500,Maine Balance of State CoC,2097.0,1956.0,141.0,1143.0,940.0,1631.0,84.0,310.0,3.0,670595,636659,33936,1350141,26927.0,24398.0,2529.0,54211.36725127228,157044.0626791225,234596.6307699853,43.09,2020
MI-500,Michigan Balance of State CoC,1502.0,1230.0,272.0,764.0,737.0,1275.0,76.0,129.0,0.0,882429,798737,83692,1935469,23340.0,21415.0,1925.0,45813.811804787365,61375.447303688554,126515.66567709035,46.64,2020
MI-501,Detroit CoC,1589.0,1503.0,86.0,1004.0,583.0,173.0,36.0,1374.0,7.0,803161,694576,108585,1740623,43367.0,38596.0,4771.0,48788.0,33575.26937300933,108183.3071604758,46.64,2020
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",260.0,239.0,21.0,132.0,128.0,108.0,7.0,127.0,1.0,803161,694576,108585,1740623,43367.0,38596.0,4771.0,48788.0,33575.26937300933,108183.3071604758,46.64,2020
MI-503,"St. Clair Shores, Warren/Macomb County CoC",251.0,199.0,52.0,156.0,95.0,119.0,10.0,123.0,0.0,443160,391142,52018,870791,9209.0,8288.0,921.0,52195.0,108645.05738738374,181989.69965158522,46.64,2020
MI-504,"Pontiac, Royal Oak/Oakland County CoC",459.0,335.0,124.0,266.0,192.0,172.0,28.0,268.0,3.0,654755,595203,59552,1253459,12457.0,10962.0,1495.0,76941.0,158322.01352317317,261264.6341858353,46.64,2020
MI-505,Flint/Genesee County CoC,349.0,276.0,73.0,203.0,146.0,154.0,50.0,149.0,0.0,180263,159494,20769,404794,6347.0,5521.0,826.0,46152.0,30329.369138417445,117090.70340258289,46.64,2020
MI-506,"Grand Rapids, Wyoming/Kent County CoC",923.0,837.0,86.0,538.0,380.0,331.0,67.0,494.0,9.0,357380,329198,28182,658708,11167.0,10161.0,1006.0,57397.0,158839.22317174103,230540.99859162178,46.64,2020
MI-507,"Portage, Kalamazoo City & County CoC",639.0,496.0,143.0,313.0,326.0,245.0,18.0,369.0,6.0,132296,122352,9944,265988,4172.0,3921.0,251.0,52403.0,105735.09103042538,181089.94210204761,46.64,2020
MI-508,"Lansing, East Lansing/Ingham County CoC",512.0,482.0,30.0,298.0,213.0,243.0,41.0,191.0,2.0,146981,135577,11404,290609,6176.0,5558.0,618.0,44957.0,69733.53086347683,139455.03359158657,46.64,2020
MI-509,Washtenaw County CoC,274.0,257.0,17.0,169.0,102.0,106.0,14.0,132.0,1.0,194032,181053,12979,366473,6060.0,5332.0,728.0,63655.0,180718.36777121833,295302.02492539946,46.63999999999999,2020
MI-510,Saginaw City & County CoC,431.0,421.0,10.0,221.0,210.0,144.0,23.0,250.0,1.0,84794,76066,8728,189868,4074.0,3788.0,286.0,45328.0,36434.66784171735,96741.58561200694,46.64,2020
MI-511,Lenawee County CoC,168.0,161.0,7.0,75.0,93.0,123.0,48.0,20.0,0.0,45756,41546,4210,97808,603.0,566.0,37.0,44821.0,76057.32809252189,150211.98109932197,46.64,2020
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",211.0,183.0,28.0,141.0,70.0,175.0,4.0,11.0,1.0,86221,78351,7870,174639,986.0,864.0,122.0,56084.882866942666,127735.05311167802,225955.42378879985,46.64000000000001,2020
MI-514,Battle Creek/Calhoun County CoC,229.0,182.0,47.0,155.0,74.0,117.0,5.0,84.0,1.0,62032,55821,6211,133580,2346.0,2064.0,282.0,44729.0,49284.66237336539,108085.84424829134,46.64,2020
MI-515,Monroe City & County CoC,184.0,182.0,2.0,92.0,92.0,128.0,4.0,42.0,0.0,74492,67671,6821,150568,1904.0,1751.0,153.0,52028.0,109463.86975087062,177433.62662478272,46.64,2020
MI-516,"Norton Shores, Muskegon City & County CoC",129.0,122.0,7.0,75.0,54.0,51.0,9.0,71.0,1.0,77752,68560,9192,173883,2530.0,2277.0,253.0,44000.0,70502.68169768287,142680.43087017897,46.64,2020
MI-517,Jackson City & County CoC,100.0,75.0,25.0,50.0,50.0,55.0,3.0,26.0,2.0,74670,67766,6904,156920,2502.0,2326.0,176.0,44889.0,72611.52226250625,146314.94598545917,46.64,2020
MI-518,Livingston County CoC,47.0,47.0,0.0,14.0,33.0,35.0,3.0,7.0,0.0,101006,92311,8695,192335,395.0,355.0,40.0,62622.0,187524.56736111944,279663.36217101547,46.64,2020
MI-519,Holland/Ottawa County CoC,270.0,262.0,8.0,147.0,123.0,191.0,27.0,46.0,18.0,160033,148750,11283,294635,1041.0,968.0,73.0,52759.0,174723.83816565256,240371.65727843653,46.64,2020
MI-523,Eaton County CoC,111.0,110.0,1.0,42.0,69.0,78.0,11.0,24.0,0.0,56349,51903,4446,110148,1104.0,982.0,122.0,47407.0,116238.57505100043,182993.58585057172,46.64,2020
MN-500,Minneapolis/Hennepin County CoC,3049.0,2407.0,642.0,1773.0,1253.0,697.0,234.0,1822.0,48.0,717935,670358,47577,1268408,26220.0,24122.0,2098.0,79183.0,214787.02781938692,307794.7309845439,42.98,2020
MN-501,St. Paul/Ramsey County CoC,1630.0,1292.0,338.0,994.0,627.0,443.0,159.0,886.0,69.0,291543,271062,20481,547903,15705.0,14291.0,1414.0,58557.0,187723.89905039626,258333.1968066725,42.98,2020
MN-502,Rochester/Southeast Minnesota CoC,459.0,393.0,66.0,212.0,244.0,282.0,59.0,118.0,10.0,387049,365936,21113,679059,10039.0,8948.0,1091.0,55162.95930103275,131540.39602157645,202497.0087338169,42.98,2020
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties CoC",561.0,415.0,146.0,285.0,273.0,309.0,48.0,167.0,6.0,739814,694897,44917,1314458,10136.0,9373.0,763.0,64778.66356931906,224308.53009279654,307909.73030599876,42.98,2020
MN-504,Northeast Minnesota CoC,143.0,82.0,61.0,76.0,66.0,108.0,6.0,4.0,0.0,62050,57095,4955,125000,1976.0,1752.0,224.0,48658.466216,86140.03340867416,162583.3654037868,42.98,2020
MN-505,St. Cloud/Central Minnesota CoC,864.0,466.0,398.0,493.0,370.0,561.0,34.0,155.0,5.0,414215,387275,26940,765691,6891.0,6187.0,704.0,50805.97300347007,159247.7217491389,232239.52449666854,42.98,2020
MN-506,Northwest Minnesota CoC,320.0,317.0,3.0,166.0,153.0,118.0,30.0,13.0,2.0,88934,83209,5725,165806,3242.0,2707.0,535.0,53067.48281123723,79395.8535512858,157426.4496832287,42.98,2020
MN-508,Moorhead/West Central Minnesota CoC,223.0,223.0,0.0,121.0,101.0,120.0,36.0,28.0,1.0,135979,129014,6965,246469,4444.0,3730.0,714.0,52111.72544620216,120697.16591596951,204790.59529487454,42.98,2020
MN-511,Southwest Minnesota CoC,79.0,68.0,11.0,32.0,47.0,50.0,18.0,9.0,0.0,151214,143649,7565,266926,4514.0,3818.0,696.0,56499.280905569336,74909.5119652082,146411.35836075444,42.98,2020
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",392.0,267.0,125.0,177.0,213.0,260.0,21.0,96.0,0.0,47571,44724,2847,96713,1564.0,1131.0,433.0,44402.43133808278,121943.4986040504,201323.27328274326,54.7,2020
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",540.0,452.0,88.0,285.0,252.0,401.0,39.0,64.0,2.0,212420,201175,11245,425511,3021.0,2449.0,572.0,45500.12338341429,106424.05444094037,170348.17879650585,54.699999999999996,2020
MO-602,"Joplin/Jasper, Newton Counties CoC",313.0,243.0,70.0,205.0,108.0,264.0,18.0,25.0,0.0,82380,77638,4742,180099,2354.0,2151.0,203.0,42255.298169340196,76337.56248204572,135819.94046978178,54.7,2020
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",241.0,199.0,42.0,125.0,115.0,168.0,16.0,47.0,5.0,57505,54765,2740,115060,2298.0,2039.0,259.0,42941.86808621589,55166.70544925297,121749.8972630242,54.7,2020
MO-606,Missouri Balance of State CoC,1569.0,917.0,652.0,784.0,776.0,1219.0,72.0,245.0,3.0,1138753,1073038,65715,2451365,28196.0,23847.0,4349.0,43034.71294401283,76598.85062981378,142543.57247956612,54.7,2020
MS-500,"Jackson/Rankin, Madison Counties CoC",406.0,293.0,113.0,277.0,127.0,142.0,1.0,255.0,3.0,259896,240520,19376,563586,10597.0,9959.0,638.0,49247.8810190459,74902.18722413761,141378.2281939479,63.5,2020
MS-501,Mississippi Balance of State CoC,447.0,220.0,227.0,268.0,179.0,203.0,3.0,230.0,0.0,775417,714224,61193,1876199,34276.0,31819.0,2457.0,40416.96715273806,60372.02920283188,115552.1752832611,63.5,2020
MS-503,Gulf Port/Gulf Coast Regional CoC,254.0,68.0,186.0,164.0,89.0,167.0,14.0,69.0,0.0,201947,183886,18061,499264,10289.0,9643.0,646.0,40889.83828195103,75069.64908703722,143018.25736246162,63.5,2020
MT-500,Montana Statewide CoC,1545.0,1085.0,460.0,896.0,630.0,1087.0,147.0,51.0,4.0,545342,513548,31794,1080577,13867.0,11728.0,2139.0,53360.5333742991,192491.86779133466,287485.78135607723,44.18,2020
NC-500,Winston-Salem/Forsyth County CoC,504.0,447.0,57.0,366.0,137.0,214.0,8.0,281.0,1.0,179835,166784,13051,383843,7840.0,6664.0,1176.0,51323.0,95450.67881082807,173544.0219349946,58.7,2020
NC-501,Asheville/Buncombe County CoC,547.0,482.0,65.0,396.0,150.0,376.0,23.0,144.0,1.0,133240,122360,10880,263477,4451.0,3872.0,579.0,53309.0,211066.63516930552,306077.0456392416,58.7,2020
NC-502,Durham City & County CoC,349.0,272.0,77.0,236.0,113.0,87.0,16.0,247.0,0.0,169008,158365,10643,327306,5623.0,4892.0,731.0,54056.0,182899.50164929617,267623.61918988667,58.699999999999996,2020
NC-503,North Carolina Balance of State CoC,3185.0,2189.0,996.0,1819.0,1362.0,1793.0,156.0,1205.0,14.0,2244325,2084987,159338,5261601,63435.0,56305.0,7130.0,44464.606408391664,94524.58202225904,173333.7726854929,58.699999999999996,2020
NC-504,"Greensboro, High Point CoC",624.0,434.0,190.0,409.0,215.0,208.0,18.0,399.0,1.0,251807,230764,21043,540521,10653.0,9161.0,1492.0,49856.0,87203.65880800512,170360.6679430245,58.7,2020
NC-505,Charlotte/Mecklenburg County CoC,1604.0,1390.0,214.0,949.0,652.0,269.0,44.0,1260.0,4.0,605131,559368,45763,1128945,10849.0,10523.0,326.0,65244.0,184808.8411044815,269207.1897836271,58.7,2020
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",350.0,231.0,119.0,228.0,121.0,200.0,24.0,125.0,1.0,197504,182857,14647,450323,4663.0,3548.0,1115.0,48109.8020820611,174548.79975691164,271772.51759963715,58.7,2020
NC-507,Raleigh/Wake County CoC,974.0,742.0,232.0,575.0,392.0,259.0,72.0,659.0,6.0,571230,535082,36148,1132271,7423.0,7126.0,297.0,65450.0,221330.46624146297,327724.4156305902,58.7,2020
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",325.0,140.0,185.0,186.0,139.0,195.0,24.0,108.0,0.0,196248,181501,14747,413700,4789.0,4439.0,350.0,44809.398153251146,94878.74408162713,178085.84598441096,58.7,2020
NC-511,Fayetteville/Cumberland County CoC,297.0,132.0,165.0,188.0,108.0,62.0,23.0,219.0,0.0,123440,112009,11431,336364,4146.0,3855.0,291.0,42992.0,62645.54974449307,128265.66778479399,58.7,2020
NC-513,Chapel Hill/Orange County CoC,124.0,105.0,19.0,92.0,32.0,52.0,5.0,61.0,2.0,76140,72149,3991,149077,1197.0,1005.0,192.0,67089.0,185500.2975666289,318885.6003249191,58.7,2020
NC-516,Northwest North Carolina CoC,397.0,158.0,239.0,202.0,193.0,345.0,47.0,49.0,0.0,91478,85529,5949,213395,2805.0,2630.0,175.0,39822.7557815319,108659.3492047723,190047.78812450106,58.7,2020
ND-500,North Dakota Statewide CoC,541.0,507.0,34.0,314.0,226.0,285.0,40.0,95.0,1.0,376279,357589,18690,696602,13071.0,9868.0,3203.0,61511.05376097112,131271.9486029791,207617.43176532342,40.8,2020
NE-500,Nebraska Balance of State CoC,542.0,517.0,25.0,305.0,235.0,456.0,118.0,45.0,1.0,456464,439446,17018,833187,11813.0,10248.0,1565.0,54532.38762006608,80639.89219878621,149781.10169162037,49.88,2020
NE-501,"Omaha, Council Bluffs CoC",1405.0,1328.0,77.0,945.0,457.0,863.0,153.0,386.0,11.0,449028,426864,22164,856516,13036.0,11563.0,1473.0,61466.43595682976,135772.19394587065,209274.22097436443,49.69040550322469,2020
NE-502,Lincoln CoC,457.0,416.0,41.0,251.0,205.0,269.0,58.0,112.0,10.0,179050,171373,7677,320650,4379.0,4072.0,307.0,52887.0,147643.2873567091,211223.0306855533,49.88,2020
NH-500,New Hampshire Balance of State CoC,877.0,632.0,245.0,479.0,394.0,793.0,43.0,39.0,10.0,522963,488787,34176,947540,13695.0,12745.0,950.0,67339.36936382634,205930.09776726237,299004.82218042813,44.49,2020
NH-501,Manchester CoC,498.0,424.0,74.0,273.0,225.0,424.0,83.0,31.0,3.0,241174,224360,16814,418735,8181.0,7690.0,491.0,66548.0,238439.97881289988,328823.8200096706,44.49,2020
NH-502,Nashua/Hillsborough County CoC,300.0,271.0,29.0,183.0,116.0,257.0,58.0,28.0,3.0,241174,224360,16814,418735,8181.0,7690.0,491.0,66548.0,238439.97881289988,328823.8200096706,44.49,2020
NJ-500,Atlantic City & County CoC,443.0,286.0,157.0,338.0,105.0,182.0,67.0,210.0,11.0,124023,102850,21173,262945,7613.0,6775.0,838.0,55802.0,117864.475693726,204162.51043184506,51.93,2020
NJ-501,Bergen County CoC,352.0,346.0,6.0,172.0,180.0,208.0,111.0,123.0,2.0,495140,449744,45396,930394,11582.0,10887.0,695.0,91972.0,353582.8281533088,484858.73395707755,51.93,2020
NJ-502,Burlington County CoC,553.0,528.0,25.0,285.0,266.0,217.0,59.0,307.0,0.0,239790,220858,18932,446596,1802.0,1747.0,55.0,67154.0,156783.3646947622,248047.11610550192,51.93,2020
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1047.0,800.0,247.0,633.0,407.0,445.0,176.0,531.0,7.0,537103,484068,53035,1038608,20940.0,19744.0,1196.0,58176.08807172677,120844.86988341608,208032.39082281204,51.93,2020
NJ-504,Newark/Essex County CoC,2209.0,1796.0,413.0,1256.0,949.0,305.0,368.0,1769.0,5.0,388321,344710,43611,800501,34532.0,30733.0,3799.0,70497.0,259558.40971151987,409580.46748165885,51.93,2020
NJ-506,"Jersey City, Bayonne/Hudson County CoC",944.0,646.0,298.0,634.0,309.0,404.0,299.0,513.0,7.0,373507,335570,37937,671666,24123.0,22916.0,1207.0,71682.0,296470.0009747105,451889.20545186056,51.93000000000001,2020
NJ-507,New Brunswick/Middlesex County CoC,666.0,565.0,101.0,373.0,292.0,310.0,208.0,329.0,11.0,447575,409642,37933,822736,10252.0,9841.0,411.0,66640.0,245974.3387739358,350910.0304785887,51.92999999999999,2020
NJ-508,Monmouth County CoC,399.0,340.0,59.0,236.0,163.0,186.0,53.0,186.0,0.0,337006,308222,28784,618381,10621.0,9665.0,956.0,86091.0,288853.544839934,442651.01392162853,51.93,2020
NJ-509,Morris County CoC,354.0,325.0,29.0,198.0,156.0,217.0,70.0,101.0,4.0,261858,242323,19535,491087,3841.0,3610.0,231.0,102227.0,302105.6329978746,440936.1020831295,51.93,2020
NJ-510,Lakewood Township/Ocean County CoC,349.0,324.0,25.0,175.0,174.0,234.0,53.0,88.0,1.0,289547,263207,26340,614237,5728.0,5498.0,230.0,57344.0,199337.66814793297,311894.3150533022,51.93,2020
NJ-511,Paterson/Passaic County CoC,583.0,393.0,190.0,341.0,242.0,264.0,195.0,291.0,0.0,253441,222723,30718,500382,11904.0,10713.0,1191.0,55775.0,258587.04865151233,355161.20869648893,51.93000000000001,2020
NJ-512,Salem County CoC,32.0,22.0,10.0,12.0,20.0,18.0,0.0,11.0,0.0,30636,27807,2829,62451,1462.0,1418.0,44.0,54578.0,75425.14323807659,153966.81040107802,51.93,2020
NJ-513,Somerset County CoC,342.0,332.0,10.0,174.0,168.0,128.0,61.0,190.0,0.0,174553,161515,13038,329331,2266.0,2175.0,91.0,112825.0,275194.8883300714,420857.3268169328,51.92999999999999,2020
NJ-514,Trenton/Mercer County CoC,556.0,451.0,105.0,350.0,206.0,148.0,72.0,376.0,6.0,211802,196545,15257,367239,7937.0,7381.0,556.0,74218.0,122928.19033376484,258389.750412623,51.93,2020
NJ-515,Elizabeth/Union County CoC,484.0,419.0,65.0,259.0,225.0,183.0,131.0,290.0,1.0,286019,258755,27264,555394,9609.0,8744.0,865.0,72543.0,265994.64983708295,381876.03422244155,51.93,2020
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",349.0,308.0,41.0,178.0,168.0,232.0,49.0,103.0,3.0,200007,183849,16158,370423,3608.0,3463.0,145.0,74924.30373923866,192590.3547554263,300876.7988822389,51.93,2020
NM-500,Albuquerque CoC,1586.0,1019.0,567.0,1080.0,490.0,965.0,617.0,155.0,12.0,327380,302607,24773,681666,9577.0,8523.0,1054.0,48683.0,163241.70783526762,225993.40864301074,53.06999999999999,2020
NM-501,New Mexico Balance of State CoC,1747.0,1055.0,692.0,1023.0,707.0,1046.0,708.0,72.0,2.0,463550,425738,37812,1086046,12898.0,10384.0,2514.0,47019.47727168094,118379.2779871557,199359.45348463688,53.07,2020
NV-500,Las Vegas/Clark County CoC,5283.0,1822.0,3461.0,3758.0,1517.0,3137.0,765.0,1703.0,104.0,1106764,935250,171514,2315963,16210.0,16047.0,163.0,51244.0,218081.00701410414,308337.9916388492,57.3,2020
NV-501,"Reno, Sparks/Washoe County CoC",1231.0,772.0,459.0,836.0,393.0,919.0,228.0,169.0,23.0,248708,228218,20490,477082,4979.0,4481.0,498.0,66076.0,286322.3351351035,401355.0973473768,57.3,2020
NV-502,Nevada Balance of State CoC,386.0,97.0,289.0,245.0,140.0,338.0,51.0,12.0,1.0,124067,114718,9349,286229,1141.0,902.0,239.0,52697.61182479763,181370.10373085388,281934.4192970854,57.3,2020
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",815.0,771.0,44.0,530.0,283.0,316.0,126.0,451.0,5.0,367856,337779,30077,740900,18433.0,16774.0,1659.0,58299.0,110939.39087108812,172571.05481706883,48.17,2020
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",252.0,231.0,21.0,149.0,101.0,216.0,8.0,30.0,1.0,137174,126499,10675,302949,5259.0,4766.0,493.0,48267.9387487663,63842.59355302863,114299.77784020701,48.17000000000001,2020
NY-503,Albany City & County CoC,820.0,766.0,54.0,557.0,263.0,311.0,100.0,422.0,8.0,159996,148962,11034,303654,8764.0,7537.0,1227.0,66632.0,172911.83837571568,246248.15020019514,48.17,2020
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",618.0,598.0,20.0,373.0,243.0,356.0,63.0,216.0,7.0,315026,289630,25396,651589,15524.0,13988.0,1536.0,55443.91831507284,94873.15523246536,149072.3484172637,48.17,2020
NY-507,Schenectady City & County CoC,434.0,409.0,25.0,263.0,170.0,181.0,106.0,198.0,4.0,78680,72622,6058,155358,3755.0,3529.0,226.0,58210.0,131606.41970887806,193644.1565087078,48.17,2020
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",872.0,839.0,33.0,508.0,361.0,372.0,95.0,401.0,16.0,612879,557109,55770,1262074,31464.0,28257.0,3207.0,54870.50304261081,111857.35958761149,176703.7157969175,48.17,2020
